Record_key,County,Year,KGS,Total Value,Full Time,PT Employ.      (< 6 Mth),PT Employ. (> 6 Mth),Total Employ.,Index
1,Antigonish,2017,8752,64982.78,1,6,0,7,1
2,Colchester,2017,45641,375097.58,5,5,6,16,2
3,Cumberland,2017,157422,487317,20,16,5,41,3
4,Inverness,2017,320865,2002983,14,17,3,34,4
5,Lunenburg,2017,1205938,10323356.2,10,5,1,16,5
6,Pictou,2017,212872,2957485.52,18,30,7,55,6
7,Richmond,2017,19390,227435,3,25,3,31,7
8,Shelburne,2017,5680773,57437181.8,34,4,63,101,8
9,Victoria,2017,862970,1494112,6,29,16,51,9
10,Total for Nova Scotia,2017,13355926,116046956.5,185,192,158,535,10
11,Colchester,2018,40963,211864.63,6,8,2,16,11
12,Cumberland,2018,193704,1626901.4,19,11,3,33,12
13,Inverness,2018,230887,614387,21,38,2,61,13
14,Lunenburg,2018,14608,108177,9,10,1,20,14
15,Pictou,2018,104980,1260954.5,22,26,3,51,15
16,Victoria,2018,1110539,4980830,4,18,22,44,16
17,Total for Nova Scotia,2018,10119403,88608376.38,215,166,138,519,17
