X,Y,OBJECTID,evt_rt,evt_rin,evt_date,location,zone,rucr,rucr_ext_d
-63.57912954,44.64419598,26090,GO,1049421,2020-02-01T00:00:00.000Z,SOUTH PARK ST,C4,1430,ASSAULT
-63.56974508,44.75261136,26091,GO,1049418,2020-02-01T00:00:00.000Z,WAVERLEY RD,FAL,2120,BREAK AND ENTER
-63.68921924,44.79158021,26092,GO,1049430,2020-02-01T00:00:00.000Z,HADDAD DR,SAC,1420,ASSAULT
-63.36234437,44.78395972,26093,GO,1049363,2020-02-01T00:00:00.000Z,MYRA RD,POR,1430,ASSAULT
-63.63437621,44.65172072,26094,GO,1049388,2020-02-01T00:00:00.000Z,MELROSE AVE,W3,1430,ASSAULT
-63.59886271,44.60401289,26095,GO,1049395,2020-02-01T00:00:00.000Z,ONYX CRES,W1,1430,ASSAULT
-63.5038905,44.68108789,26096,GO,1049423,2020-02-01T00:00:00.000Z,LA PIERRE CRES,E1,1610,ROBBERY
-63.59241729,44.63755382,26097,GO,1049454,2020-02-01T00:00:00.000Z,COBURG RD,C1,2120,BREAK AND ENTER
-63.52834795,44.69081707,26098,GO,1049285,2020-02-01T00:00:00.000Z,KENNEDY DR,E7,1420,ASSAULT
-62.52471914,44.91592503,26099,GO,1049429,2020-02-01T00:00:00.000Z,ALBERT HOWE LANE,SHE,1420,ASSAULT
-63.57448734,44.64660441,26100,GO,1049287,2020-02-01T00:00:00.000Z,ARGYLE ST / PRINCE ST,C4,1610,ROBBERY
-63.47664508,44.65651364,26101,GO,1049295,2020-02-01T00:00:00.000Z,ASTRAL DR,COL,2120,BREAK AND ENTER
-63.65739573,44.66921184,26102,GO,1049540,2020-02-01T00:00:00.000Z,KINGFISHER CRES,W5,2142,THEFT FROM VEHICLE
-63.67250427,44.64723176,26103,GO,1049436,2020-02-01T00:00:00.000Z,CHAIN LAKE DR,W4,1420,ASSAULT
-63.61004681,44.71280594,26104,GO,1049882,2020-02-01T00:00:00.000Z,PETTIPAS DR,E6,2132,THEFT FROM VEHICLE
-63.58163613,44.65091421,26105,GO,1049344,2020-02-01T00:00:00.000Z,GOTTINGEN ST,C4,1430,ASSAULT
-63.68557798,44.70676189,26106,GO,1049338,2020-02-01T00:00:00.000Z,OCEANVIEW DR,W6,1430,ASSAULT
-63.70675835,44.89529511,26107,GO,1049377,2020-02-01T00:00:00.000Z,BEAVER BANK RD,BVR,1430,ASSAULT
-63.60734216,44.6106713,26108,GO,1049479,2020-02-02T00:00:00.000Z,KATRINA CRES,W1,1430,ASSAULT
-63.68018631,44.78225898,26109,GO,1049460,2020-02-02T00:00:00.000Z,RIVERSIDE DR,SAC,1420,ASSAULT
-63.58638489,44.65414992,26110,GO,1049466,2020-02-02T00:00:00.000Z,GOTTINGEN ST,C4,2120,BREAK AND ENTER
-63.58364035,44.69171401,26111,GO,1049457,2020-02-02T00:00:00.000Z,HIGHFIELD PARK DR,E5,1430,ASSAULT
-63.69955528,44.76768759,26112,GO,1049490,2020-02-02T00:00:00.000Z,WALKER AVE,SAC,2135,THEFT OF VEHICLE
-63.65473593,44.79421368,26113,GO,1049498,2020-02-02T00:00:00.000Z,PETER THOMAS DR,FAL,1430,ASSAULT
-63.05145233,44.77519919,26114,GO,1049493,2020-02-02T00:00:00.000Z,HIGHWAY 7,JED,2120,BREAK AND ENTER
-63.58469172,44.68108759,26115,GO,1049578,2020-02-02T00:00:00.000Z,JACKSON RD,E5,1420,ASSAULT
-63.66779181,44.62776536,26116,GO,1049581,2020-02-02T00:00:00.000Z,LONG LAKE DR,W4,2120,BREAK AND ENTER
-63.54276498,44.67043159,26117,GO,1049512,2020-02-02T00:00:00.000Z,ROSE WAY,E3,1420,ASSAULT
-63.68145078,44.70940106,26118,GO,1049892,2020-02-03T00:00:00.000Z,ROYAL MASTS WAY,W6,2132,THEFT FROM VEHICLE
-63.68557798,44.70676189,26119,GO,1049931,2020-02-03T00:00:00.000Z,OCEANVIEW DR,W6,2142,THEFT FROM VEHICLE
-63.64332789,44.52220888,26120,GO,1049716,2020-02-03T00:00:00.000Z,LEE MURPHY CRES,W1,2120,BREAK AND ENTER
-63.68303082,44.7108339,26121,GO,1049859,2020-02-03T00:00:00.000Z,ROYAL MASTS WAY,W6,2132,THEFT FROM VEHICLE
-63.86242953,44.69834094,26122,GO,1049844,2020-02-03T00:00:00.000Z,SCHOLARS RD,BLT,1430,ASSAULT
-63.54782598,44.64815134,26123,GO,1049727,2020-02-03T00:00:00.000Z,ATLANTIC ST,E2,2142,THEFT FROM VEHICLE
-63.57428906,44.64776453,26124,GO,1049665,2020-02-03T00:00:00.000Z,BARRINGTON ST,C4,1610,ROBBERY
-63.58058039,44.65445076,26125,GO,1049675,2020-02-03T00:00:00.000Z,UPPER WATER ST,C4,2142,THEFT FROM VEHICLE
-63.59957022,44.65880321,26126,GO,1049601,2020-02-03T00:00:00.000Z,MACARA ST,C5,1430,ASSAULT
-63.62008659,44.65478103,26127,GO,1049784,2020-02-03T00:00:00.000Z,FEDERAL AVE,C3,1430,ASSAULT
-63.61848404,44.66789739,26128,GO,1049706,2020-02-03T00:00:00.000Z,MEMORIAL DR,C5,2120,BREAK AND ENTER
-63.53380796,44.69474709,26129,GO,1049818,2020-02-03T00:00:00.000Z,DELMAC CRT,E7,1430,ASSAULT
-63.70093118,44.77572967,26130,GO,1049800,2020-02-03T00:00:00.000Z,CONNOLLY RD,SAC,2120,BREAK AND ENTER
-63.85865708,44.70627427,26131,GO,1049778,2020-02-03T00:00:00.000Z,WESTWOOD BLVD,HAM,2142,THEFT FROM VEHICLE
-63.61422032,44.66053482,26132,GO,1049772,2020-02-03T00:00:00.000Z,WINDSOR ST,C5,1610,ROBBERY
-63.6103828,44.66534061,26133,GO,1049763,2020-02-03T00:00:00.000Z,DUFFUS ST,C5,1610,ROBBERY
-63.58499768,44.6560096,26134,GO,1049710,2020-02-03T00:00:00.000Z,GERRISH ST,C4,2142,THEFT FROM VEHICLE
-63.58575872,44.71978199,26135,GO,1049719,2020-02-03T00:00:00.000Z,GLORIA MCCLUSKEY AVE,E6,1430,ASSAULT
-63.66528134,44.68114244,26136,GO,1049726,2020-02-03T00:00:00.000Z,KEARNEY LAKE RD,W5,2120,BREAK AND ENTER
-63.60497097,44.65772064,26137,GO,1049651,2020-02-03T00:00:00.000Z,YOUNG ST,C5,2120,BREAK AND ENTER
-63.64192165,44.65765895,26138,GO,1049796,2020-02-03T00:00:00.000Z,GORDON AVE,W3,1430,ASSAULT
-63.59759728,44.65923798,26139,GO,1049779,2020-02-03T00:00:00.000Z,BILBY ST,C5,2142,THEFT FROM VEHICLE
-63.59628877,44.65814612,26140,GO,1049915,2020-02-03T00:00:00.000Z,BLOOMFIELD ST,C5,2142,THEFT FROM VEHICLE
-63.61933489,44.65670503,26141,GO,1050046,2020-02-04T00:00:00.000Z,MICMAC ST,C3,2135,THEFT OF VEHICLE
-63.66682321,44.67869897,26142,GO,1049933,2020-02-04T00:00:00.000Z,DONALDSON AVE,W5,2120,BREAK AND ENTER
-63.57162241,44.6397173,26143,GO,1049991,2020-02-04T00:00:00.000Z,SOUTH ST,C1,1430,ASSAULT
-63.58466417,44.68003738,26144,GO,1050105,2020-02-04T00:00:00.000Z,VICTORIA RD,E5,1430,ASSAULT
-63.64665318,44.66417793,26145,GO,1050031,2020-02-04T00:00:00.000Z,LACEWOOD DR,W3,2142,THEFT FROM VEHICLE
-62.53778195,44.85087695,26146,GO,1049987,2020-02-04T00:00:00.000Z,POWERS RD,SHE,1430,ASSAULT
-63.68673047,44.76873736,26147,GO,1049980,2020-02-04T00:00:00.000Z,SACKVILLE DR,SAC,1430,ASSAULT
-63.70236733,44.78205127,26148,GO,1049978,2020-02-04T00:00:00.000Z,SACKVILLE DR,SAC,2120,BREAK AND ENTER
-63.8120894,44.67700825,26149,GO,1049973,2020-02-04T00:00:00.000Z,ST MARGARETS BAY RD,BLT,2132,THEFT FROM VEHICLE
-63.68612704,44.70932478,26150,GO,1049960,2020-02-04T00:00:00.000Z,MOIRS MILL RD,W6,2142,THEFT FROM VEHICLE
-63.50391663,44.6638357,26151,GO,1049826,2020-02-04T00:00:00.000Z,PORTLAND HILLS DR,E1,2135,THEFT OF VEHICLE
-63.68173691,44.70772481,26152,GO,1049822,2020-02-04T00:00:00.000Z,OCEANVIEW DR,W6,2142,THEFT FROM VEHICLE
-63.57009181,44.56938414,26153,GO,1049805,2020-02-04T00:00:00.000Z,OCEANBREEZE AVE,W2,1430,ASSAULT
-63.62008659,44.65478103,26154,GO,1049825,2020-02-04T00:00:00.000Z,FEDERAL AVE,C3,2142,THEFT FROM VEHICLE
-63.58469172,44.68108759,26155,GO,1049990,2020-02-04T00:00:00.000Z,JACKSON RD,E5,1430,ASSAULT
-63.66088484,44.66792004,26156,GO,1049981,2020-02-04T00:00:00.000Z,DUNBRACK ST / KNIGHTSRIDGE DR,W5,1430,ASSAULT
-63.60289739,44.6212194,26157,GO,1049975,2020-02-04T00:00:00.000Z,WILLIAMS LAKE RD,W2,1430,ASSAULT
-63.58029551,44.68505008,26158,GO,1049811,2020-02-04T00:00:00.000Z,JACKSON RD,E5,2135,THEFT OF VEHICLE
-63.54856533,44.66974676,26159,GO,1049802,2020-02-04T00:00:00.000Z,LAKEFRONT RD,E3,1430,ASSAULT
-63.6096556,44.60618895,26160,GO,1049961,2020-02-04T00:00:00.000Z,SYLVIA AVE,W1,1430,ASSAULT
-63.63760218,44.64950399,26161,GO,1050054,2020-02-05T00:00:00.000Z,SCHOOL AVE,W3,2120,BREAK AND ENTER
-63.59043143,44.68754486,26162,GO,1050228,2020-02-05T00:00:00.000Z,HIGHFIELD PARK DR,E5,1420,ASSAULT
-63.68012082,44.7654709,26163,GO,1050167,2020-02-05T00:00:00.000Z,SACKVILLE DR,SAC,2120,BREAK AND ENTER
-63.58466417,44.68003738,26164,GO,1050120,2020-02-05T00:00:00.000Z,VICTORIA RD,E5,1420,ASSAULT
-63.67413704,44.65657441,26165,GO,1050145,2020-02-05T00:00:00.000Z,CHAIN LAKE DR,W4,1430,ASSAULT
-63.63988823,44.65412585,26166,GO,1050206,2020-02-05T00:00:00.000Z,RUFUS AVE,W3,2142,THEFT FROM VEHICLE
-63.67673638,44.7148864,26167,GO,1050150,2020-02-05T00:00:00.000Z,BEDFORD HWY,W6,2142,THEFT FROM VEHICLE
-63.28162087,44.74420461,26168,GO,1049998,2020-02-05T00:00:00.000Z,HIGHWAY 7,POR,1430,ASSAULT
-63.67065066,44.7289076,26169,GO,1050348,2020-02-06T00:00:00.000Z,FREDERICK ST,W6,1420,ASSAULT
-63.62120846,44.60947364,26170,GO,1050180,2020-02-06T00:00:00.000Z,CLEARVIEW ST,W1,2142,THEFT FROM VEHICLE
-63.55716484,44.68454326,26171,GO,1050360,2020-02-06T00:00:00.000Z,MICMAC BLVD,E4,1430,ASSAULT
-63.67367488,44.76216044,26172,GO,1050371,2020-02-06T00:00:00.000Z,SACKVILLE DR,SAC,1610,ROBBERY
-63.63634696,44.66030817,26173,GO,1050203,2020-02-06T00:00:00.000Z,A EVANS AVE,W3,1420,ASSAULT
-63.71407006,44.78875522,26174,GO,1050313,2020-02-06T00:00:00.000Z,SACKVILLE DR,MSA,1430,ASSAULT
-63.47664508,44.65651364,26175,GO,1050397,2020-02-07T00:00:00.000Z,ASTRAL DR,COL,2120,BREAK AND ENTER
