ParkName,State,partySize,BookingType,RateType,Equipment
Graves Island,1,35,1,1,1
Cape Chignecto,1,14,2,1,2
Ellenwood Lake,1,12,1,1,3
Dollar Lake,1,11,1,1,2
Valleyview,1,11,1,1,2
Blomidon,1,10,1,1,1
Caribou Munroes,1,9,1,1,1
Mira River,1,9,1,1,2
Battery,1,9,1,1,1
Thomas Raddall,1,8,1,1,2
Rissers Beach,1,8,1,1,1
Laurie,1,8,1,1,1
Five Islands,1,7,1,1,1
Porters Lake,1,7,1,1,2
Salsman,1,6,1,1,1
Smileys,1,6,1,1,1
The Islands,1,6,1,1,4
Amherst Shore,1,6,1,1,1
Whycocomagh,1,6,1,1,3
Boylston,1,6,1,1,1
